timestamp,active,elapsed_time,total_work_hours
2025-04-21 06:48:53,0,0,0.0
2025-04-21 06:49:00,1,0,0.0
2025-04-21 06:49:34,0,0,0.01
2025-04-21 06:49:39,0,0,0.01
2025-04-21 06:50:00,1,12,0.01
2025-04-21 06:51:00,1,72,0.01
2025-04-21 06:52:00,1,132,0.01
2025-04-21 06:52:52,0,0,0.06
2025-04-21 06:52:59,0,0,0.06
2025-04-21 06:53:00,0,0,0.06
2025-04-21 06:54:00,1,56,0.06
2025-04-21 06:55:00,1,116,0.06
2025-04-21 06:56:00,1,176,0.06
2025-04-21 06:56:39,0,0,0.06
2025-04-21 06:57:00,0,0,0.06
2025-04-21 06:58:00,0,0,0.06
2025-04-21 06:58:53,0,0,0.06
2025-04-21 06:59:00,0,0,0.06
2025-04-21 07:00:00,1,58,0.06
2025-04-21 07:00:33,0,0,0.09
2025-04-21 07:01:43,0,0,0.09
2025-04-21 07:02:00,0,0,0.09
2025-04-21 07:03:09,0,0,0.09
2025-04-21 07:04:00,1,29,0.09
2025-04-21 07:05:00,1,89,0.09
2025-04-21 07:06:00,1,149,0.09
2025-04-21 07:06:12,0,0,0.09
2025-04-21 07:07:11,0,0,0.09
2025-04-21 07:07:53,0,0,0.09
2025-04-21 07:08:00,1,7,0.09
2025-04-21 07:09:00,1,67,0.09
